id,tanggal,bulan,bulan_inggris,kuartal,kota,kategori,merek,produk,unit_terjual,biaya_iklan_jt,pendapatan_jt,rata_rata_pendapatan_jt
TRX0029,2024-01-01,Januari,January,Q1,Denpasar,LCGC,Daihatsu,Sigra,10,47.08,2050,205
TRX0254,2024-01-01,Januari,January,Q1,Palembang,SUV,Wuling,Almaz,2,39.14,704,352
TRX0106,2024-01-01,Januari,January,Q1,Depok,Sedan,BMW,3 Series,19,66.16,19209,1011
TRX0292,2024-01-02,Januari,January,Q1,Depok,MPV,Hyundai,Palisade,4,18.13,2940,735
TRX0057,2024-01-02,Januari,January,Q1,Medan,Sedan,Mercedes-Benz,C-Class,8,36.59,8104,1013
TRX0004,2024-01-02,Januari,January,Q1,Makassar,Sedan,BMW,5 Series,11,32.79,14179,1289
TRX0531,2024-01-02,Januari,January,Q1,Denpasar,MPV,Lexus,NX,14,32.65,13804,986
TRX0352,2024-01-03,Januari,January,Q1,Makassar,MPV,Hyundai,Palisade,6,49.6,4428,738
TRX0278,2024-01-03,Januari,January,Q1,Palembang,Hatchback,Kia,Stonic,12,56.51,3828,319
TRX0575,2024-01-03,Januari,January,Q1,Balikpapan,Sedan,Mercedes-Benz,E-Class,20,45.33,23600,1180
TRX0227,2024-01-05,Januari,January,Q1,Malang,SUV,Nissan,X-Trail,14,63.09,6286,449
TRX0378,2024-01-05,Januari,January,Q1,Denpasar,Sedan,Mercedes-Benz,E-Class,16,42.06,19376,1211
TRX0462,2024-01-05,Januari,January,Q1,Medan,Sedan,Mazda,Mazda6,2,6.28,1130,565
TRX0187,2024-01-06,Januari,January,Q1,Denpasar,Sedan,Audi,A6,2,17.46,2406,1203
TRX0490,2024-01-07,Januari,January,Q1,Bandar Lampung,Sedan,Audi,A4,17,42.97,15436,908
TRX0476,2024-01-07,Januari,January,Q1,Denpasar,SUV,Mitsubishi,Pajero Sport,2,40.24,1294,647
TRX0418,2024-01-08,Januari,January,Q1,Tangerang,Hatchback,Nissan,Kicks,6,35.91,2382,397
TRX0065,2024-01-08,Januari,January,Q1,Denpasar,Sedan,Nissan,Kicks,15,56.94,5985,399
TRX0321,2024-01-08,Januari,January,Q1,Tangerang,SUV,Daihatsu,Terios,9,33.03,2646,294
TRX0283,2024-01-09,Januari,January,Q1,Bandung,Sedan,Mazda,Mazda6,13,14.21,7280,560
TRX0584,2024-01-09,Januari,January,Q1,Palembang,SUV,Hyundai,Creta,17,55.52,6630,390
TRX0384,2024-01-10,Januari,January,Q1,Bandung,Sedan,Toyota,Camry,20,38.71,10620,531
TRX0241,2024-01-10,Januari,January,Q1,Makassar,SUV,Mazda,CX-3,13,72.41,5083,391
TRX0483,2024-01-11,Januari,January,Q1,Balikpapan,SUV,Daihatsu,Rocky,9,39.22,2610,290
TRX0165,2024-01-11,Januari,January,Q1,Pekanbaru,Hatchback,Volkswagen,Golf,7,31.49,3626,518
TRX0347,2024-01-11,Januari,January,Q1,Surabaya,Sedan,Mercedes-Benz,C-Class,17,65.13,17340,1020
TRX0138,2024-01-12,Januari,January,Q1,Bandar Lampung,LCGC,Daihatsu,Sigra,1,44.27,200,200
